"city","id","host_is_superhost","host_since","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","extra_people","minimum_nights","maximum_nights","has_availability","number_of_reviews","review_scores_rating","review_scores_accuracy","cancellation_policy","reviews_per_month","gdp","text","word_count","sd","ave_sentiment","doc_id","ADJ","ADP","ADV","AUX","CCONJ","DET","INTJ","NOUN","NUM","PART","PRON","PROPN","PUNCT","SCONJ","SYM","VERB","X"
"New York",30662627,FALSE,2019-04-01,2,TRUE,FALSE,"Manhattan",TRUE,"Apartment","Entire home/apt",4,1,1,2,"Real Bed",159,4,50,1,1125,TRUE,4,90,10,"strict_14_with_grace_period",4,65877818,"fun and smart 1b1b located in upper east side    entire private apartment    1 queen size    bed in the living space,  1 full size bed in the bedroom     close to subway,  q train is downstairs     close to central park,  metropolitan museum and hudson river spacious and sunny apartment in great location! very close to subway and buses downstairs.  the whole space have your own key to get into the building and apartment.  self check in by using the lockbox outside the building,  password will be sent before you arrive.  check out by leaving the keys back to the lockbox.  check in time is 300pm,  check out time is 300pm.  heart location in upper east,  great neighborhood.  restaurant,  coffee shop and market downstairs.  very close to q train,  96th station.  you can transfer to any other trains by q train.  20 mins to grand central station,  time square,  empire building and other midtown attractions.  10 mins to metropolitan museum and guggenheim museum.  rules no drugs,  no party! please respect ou,wifi,kitchen,heating, smoke detector , carbon monoxide detector ,essentials,shampoo, lock on bedroom door , hair dryer , laptop friendly workspace , private entrance .",186,0.169013726464093,0.192941003911439,"doc152",29,19,7,7,8,12,1,73,8,3,5,0,34,3,0,19,0
"New York",19556309,FALSE,2018-04-02,1,TRUE,FALSE,"Midtown East",TRUE,"Apartment","Entire home/apt",2,1,0,2,"Real Bed",160,2,30,3,90,TRUE,29,94,9,"strict_14_with_grace_period",3.48,65877818,"location  location!! affordable max 4 people!!  2 queen size beds inthe apartment is located on only 1. 5 blocks from subway station,  literally just few steps from bus stop both downtown and crosstown.  variety of restaurants,  bars,  grocery stores within 1 min walk.  also close to grand central,  un,  central park,  times square! family,  friends welcome . great for business travelers too has printer,  scanner,  copy machine in.  please note its on 2nd floor and center of midtown some noises at night.  available for text emails for questions,  phone only for emergency.,tv,wifi, air conditioning ,kitchen, free street parking ,heating, familykid friendly , smoke detector ,essentials,shampoo,hangers, hair dryer ,iron, laptop friendly workspace , private living room ,bathtub, hot water , bed linens , extra pillows and blankets ,microwave, coffee maker ,refrigerator, dishes and silverware , cooking basics ,oven,stove.",131,0.177181488790549,0.141101845944468,"doc153",18,12,7,2,5,2,2,73,5,1,2,0,45,0,0,6,1
"New York",1419858,FALSE,2013-05-07,1,TRUE,FALSE,"East Village",TRUE,"Apartment","Entire home/apt",2,2,1,1,"Real Bed",200,1,0,1,1125,TRUE,2,100,10,"flexible",0.05,65877818,"this wellfurnished private room comfortably fits two,  and it is centrally located on a quiet street.   entire floor of the apartment building.   private bathroom.   modern and gourmet kitchen.   washer and dryer in the unit.   comfortable living room with large tv.  my current roommate will still be in the apartment.  hes a young,  friendly dentist who has busy hours.,tv,internet,wifi, air conditioning ,kitchen,elevator,heating, familykid friendly ,washer,dryer, smoke detector , carbon monoxide detector ,essentials,shampoo, 24hour checkin ,hangers, hair dryer ,iron, laptop friendly workspace .",86,0.144084867025353,0.182715296413584,"doc154",14,5,3,3,3,5,0,41,2,0,4,0,28,0,0,5,0
"New York",33005564,FALSE,2014-08-12,1,TRUE,TRUE,"Upper East Side",TRUE,"Apartment","Entire home/apt",2,1,1,2,"Real Bed",180,1,0,2,9,TRUE,1,100,10,"flexible",1,65877818,"large 1 bedroom apartment in upper east side 1 block from q train 4 blocks from 6 train.   beautiful neighborhood perfect for couples and families,tv,wifi, air conditioning ,kitchen,elevator,heating, familykid friendly ,washer,dryer, smoke detector , carbon monoxide detector ,essentials,shampoo,hangers.",40,0.362326047824998,-0.0110580364948472,"doc155",5,4,0,1,1,0,0,28,4,0,1,0,16,0,0,0,0
"New York",8471463,FALSE,2015-07-27,1,TRUE,TRUE,"Hell's Kitchen",TRUE,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",125,1,0,1,1125,TRUE,59,95,10,"strict_14_with_grace_period",2.1,65877818,"1 bedroom apt in hells kitchenmidtown west area .  close to broadway theaters  times sq.  walk to central park or west side highway .  apt faces the building courtyard which makes it quiet  serine.  its a small apartment adequate for solo,  business travelers,  or couples.  there is no elevator,  the apartment is located on the 4th floor  must climb stairsthe building was built in 1920.  clean,  small 1 bedroom apartment,  located on the 4th floor of a 1920s building.  it is close to public transportation,  restaurants,  bars,  and times square.  private bedroom  is yours for the entire stay  as well of use of the kitchen  bathroom.  please note there is a storage room that is not for guest access.  it is the room behind the beige curtain the kitchen is fully stocked with pots,  pans and dishes if you like to cook.   i have tons of spices that you are welcome to use as well.   there is a full stove  toaster oven but no microwave.  im always available by phone for any questions.  2 avenues away f,tv,wifi, air conditioning ,kitchen, paid parking off premises , smoking allowed ,heating, smoke detector , carbon monoxide detector ,essentials,shampoo,hangers, hair dryer ,iron, laptop friendly workspace , translation missing en.hostingamenity49 , translation missing en.hostingamenity50 , self checkin ,lockbox, hot water , bed linens ,refrigerator, dishes and silverware ,stove, luggage dropoff allowed , welllit path to entrance , stepfree access , stepfree access , stepfree access , handheld shower head .",233,0.161150735886955,0.142530286322183,"doc156",21,19,10,9,6,17,1,100,8,4,16,0,54,1,0,25,0
"Queens",5420330,FALSE,2015-06-23,1,TRUE,TRUE,"Astoria",TRUE,"Apartment","Private room",2,1,1,1,"Real Bed",55,1,0,1,1125,TRUE,5,100,10,"flexible",0.12,25466516,"a large bedroom in a two bedroom apartment available in the astorialong island city area.  its a very large room with a comfortable queen size bed.   there is a dresser and drawers available in the room for storage.   there is also a fan for comfort.  access to the living room with cable tv,  the fully functioning kitchen and bathroom.  right on the border between long island city and astoria.   plenty of restaurants and bars nearby.   two blocks from the museum of the moving image.   easy access to manhatthan.  a block away from the rm trains,  and 7 blocks from the n, q.,cable tv ,wifi, air conditioning ,kitchen, pets live on this property , other pets , buzzerwireless intercom ,heating, smoke detector , first aid kit ,essentials.",123,0.182333435143661,0.153567596713782,"doc157",14,16,6,1,5,17,0,52,3,1,4,0,24,0,0,5,1
"New York",8917508,FALSE,2011-09-15,2,TRUE,TRUE,"Nolita",TRUE,"Apartment","Private room",2,1,1,2,"Real Bed",250,1,0,1,1125,TRUE,2,100,10,"flexible",0.06,65877818,"in the heart of nolita,  near everything!,translation missing en.hostingamenity49 , translation missing en.hostingamenity50 .",15,0,-0.258198889747161,"doc158",2,3,0,0,0,1,0,6,2,0,1,0,5,0,0,0,0
"New York",8141111,FALSE,2014-07-21,4,TRUE,FALSE,"Murray Hill",FALSE,"Serviced apartment","Entire home/apt",2,1,1,1,"Real Bed",197,1,0,30,500,TRUE,9,100,10,"strict_14_with_grace_period",0.27,65877818,"we offer our services in a stylish,  trendy,  intimate yet homelike setting,  so we are very unlikely to be found among the homogeneity of large furnished rental companies.    our highly interior design focused dwellings are for a variety of accommodation needs.  our tenants are business professionals or consultants on assignment,  a business with corporate employee relocation and housing needs,  are inbetween residences.  newly renovated  with high end fixtures,  fully furnished by professional designers,  dark wood floor,  river view.  247 access full gym sky lounge with breath taking view furnished roofdeck with bbq grill business centerconference room,  wifi lounge with chefs kitchen media room laundry room the guest can communicate with us anytime through text message.  the apartment is located on 34th street by the east riverside.  there are lots of new restaurants and bars open near by and for grocery shopping,  there is trader joes within walking distance.  there is a parking garage,tv, cable tv ,internet,wifi, air conditioning ,kitchen, paid parking off premises ,doorman,gym,elevator, buzzerwireless intercom ,heating, familykid friendly ,washer,dryer, smoke detector , carbon monoxide detector ,essentials,shampoo, 24hour checkin ,hangers, hair dryer ,iron, laptop friendly workspace , translation missing en.hostingamenity50 , self checkin , building staff ,bathtub, hot water , bed linens , extra pillows and blankets ,microwave, coffee maker ,refrigerator,dishwasher, dishes and silverware , cooking basics ,oven,stove, bbq grill , luggage dropoff allowed , long term stays allowed , wide doorway , welllit path to entrance , wide doorway , wide clearance to bed , accessibleheight bed , wide doorway , accessibleheight toilet .",246,0.168673443401612,0.194160838347927,"doc159",25,25,9,7,6,8,1,131,3,1,10,0,67,2,0,20,0
"New York",8015112,FALSE,2015-12-07,30,TRUE,FALSE,"Noho",TRUE,"Loft","Entire home/apt",5,1,2,2,"Real Bed",299,1,0,29,1125,TRUE,1,100,10,"strict_14_with_grace_period",0.05,65877818,"this hard to come by furnished loft is located in the heart of noho in a classic turn of the century manufacturing building on broadway off of astor place.  the extra large loft features high ceilings,  an expansive living room,  dining area,  full size kitchen,  master bedroom with queen bed,  and 2nd bedroom with a full size bed,  full bathroom with toilet and shower.  the living area features an additional full size sofa bed as well.  the mass transit station for the yellow line is actually located directly in front of the building,  and several other transit lines are all located within very close proximity to the property.  please be advised that monthly utilities are not included and added to your total.  this property is an additional 200. 00 per month for gas,  electric,  wifi,  and tv services.,tv, cable tv ,internet,wifi, air conditioning ,kitchen,elevator, free street parking , buzzerwireless intercom ,heating, familykid friendly , smoke detector , carbon monoxide detector , fire extinguisher ,essentials,hangers, hair dryer ,iron, laptop friendly workspace , translation missing en.hostingamenity50 , hot water , long term stays allowed , host greets you .",181,0.115981747267417,0.147063103844996,"doc160",29,19,6,7,5,15,1,79,3,2,4,0,40,1,0,11,0
"New York",3963166,FALSE,2011-08-06,1,TRUE,TRUE,"Hamilton Heights",TRUE,"Apartment","Entire home/apt",1,1,0,0,"Real Bed",80,1,25,2,3,TRUE,16,92,10,"flexible",0.4,65877818,"sugar hills brownstone studio.  third floor walk up.  very bright  and cozy comfort. little nock in the heart of harlem.  history jazz neighborhood filled with life enrich restaurant just few blocks away.  walk along side the hudson river or just go to jackie robinson park .  roomy  brownstone studio with a modern design.  1 daytime bed.  possible to accommodate 2 people with folding cot.  wifi,  small kitchen,  washer,  living space. . .  ironing,  and blow dryer.  will meet the guests prior their arrival.  will give the tips and suggestion about nyc historical jazz neighborhood with beautiful brownstones and churches.  2 blocks away from 145th subway station.  2 express trains and 2 stops will take you to columbus circle in 12 minutes.  bus around the corner if you have time to look around and visit central park.  the bathroom has no door.  heavy curtain use instead for design purposes.,wifi, air conditioning ,kitchen,heating, familykid friendly ,washer,dryer, smoke detector , carbon monoxide detector ,essentials,shampoo,hangers, hair dryer ,iron, translation missing en.hostingamenity50 , hot water , bed linens , host greets you .",170,0.429323317926544,0.203092405065117,"doc161",19,13,8,4,7,8,0,79,7,4,6,0,41,2,0,19,0
"New York",25366555,FALSE,2017-07-26,1,TRUE,FALSE,"Hell's Kitchen",FALSE,"Apartment","Private room",2,1,1,1,"Real Bed",180,1,0,1,1125,TRUE,2,100,10,"flexible",2,65877818,"fully furnished,  spacious master bedroom in manhattan midtown luxury unit total 881 ft2.   the building offers exceptional amenities including a new lobby,  landscaped sun terrace,  24hour concierge  onsite management,  laundry room,  resident lounge,  and childrens play area 2f.   10minute walk to the times square subway station with line 1, 2, 3, 7, n, q, r, s and w.  7minute walk to port authority subway station with line a,  c,  e and direct bus to newark intl airport.  myself and my roommate living in the other bedroom will be able to assist you during your stay to provide you the most comfortable time in nyc.  while our apartment is a 10minute walk away from times square,  the most central part of nyc,  we are also 1 block away from hudson river,  where you can totally enjoy a quiet  relaxing time.  the balance of city life and the calmness along the river makes our apartment unique and one of a kind.,wifi, air conditioning ,kitchen,gym,elevator, hot tub ,heating,washer,dryer, smoke detector , carbon monoxide detector , first aid kit , fire extinguisher ,essentials,shampoo,hangers, hair dryer ,iron, laptop friendly workspace , private living room , private entrance , hot water .",190,0.256895059658816,0.378440458046533,"doc162",24,14,8,6,6,12,0,93,12,4,9,0,46,1,0,10,0
"New York",12758837,FALSE,2013-10-08,1,TRUE,TRUE,"Harlem",TRUE,"Apartment","Entire home/apt",3,1,2,1,"Real Bed",80,2,20,60,120,TRUE,15,97,10,"moderate",0.87,65877818,"light and airy apartment with very comfortable queensized bedroom and single bedroom steps from central park and subway.  be in the park in two minutes! close to coffee shop,  restaurants,  bars,  shops and landmarks in historic harlem.  quick and easy access to major museums,  broadway and lincoln center,  uws,  ues and midtown.  guests have their own bedroom,  shared access to the bathroom and are free to enjoy the sitting room with television and kitchen,  as they like.  happy to offer any tips or advice to make the most out of your stay in new york steps to 2, 3 subway line.  a couple of minutes from the m2,  m3 and m4 bus line and around 7 minute walk from the b, c subway lines.,tv, cable tv ,wifi, air conditioning ,kitchen,elevator,heating, suitable for events ,washer,dryer, smoke detector ,essentials,shampoo, lock on bedroom door ,hangers, hair dryer ,iron, laptop friendly workspace , translation missing en.hostingamenity49 , hot water , bed linens ,microwave, coffee maker ,refrigerator,dishwasher, dishes and silverware , cooking basics ,oven,stove, long term stays allowed , host greets you .",177,0.244258218015472,0.305279100493683,"doc163",19,18,2,2,13,8,0,88,7,4,5,0,49,1,0,12,0
"Queens",23676972,FALSE,2018-10-08,1,TRUE,FALSE,"East Elmhurst",TRUE,"Apartment","Entire home/apt",8,1,1,4,"Real Bed",99,4,20,1,30,TRUE,13,95,9,"strict_14_with_grace_period",4.33,25466516,"cozy basement one bedroom with living room kitchen and full bathroom.  refrigerator,  microwave,  shampoo bodywash are included.  great for friends,  families,  coworkers,  passengers,  pilots,  flight attendants.  family neighborhood,  10min away from authentic fusion restaurants in jackson hts by bus,  only 10 min car ride to astoria,  greek,  italian restaurants.  only 15 min walk to la guardiacome by purple route bus for free.  park is behind house to sit,  relax.  2 queen beds and 2 full sofabed.  private one bedroom with living room and kitchen accommodates upto 8 people.  great for families,  friends and coworkers looking for a night to crash.  3 minute car ride from la guardia or free 10 min bus ride.  safe neighborhood that is family oriented.  4 blocks down are diners and stores.  whole apartment i live couple of houses down from this airbnb.  anytime you need anything just message or call me very close to la guardia airport.  you can take purple route to airport from near my house.  la guardia cafe,tv, cable tv ,wifi, air conditioning ,kitchen, free parking on premises , free street parking ,heating, smoke detector , carbon monoxide detector , first aid kit ,essentials,shampoo, lock on bedroom door ,hangers, hair dryer ,iron, laptop friendly workspace , self checkin ,lockbox, private living room , private entrance , hot water , bed linens , extra pillows and blankets ,microwave, coffee maker ,refrigerator, dishes and silverware , cooking basics ,oven,stove, luggage dropoff allowed , long term stays allowed , cleaning before checkout , wide hallway clearance , stepfree access , wide doorway , welllit path to entrance , stepfree access , wide doorway , wide clearance to bed , accessibleheight bed , stepfree access , wide doorway , stepfree access , wide entryway , paid parking on premises .",264,0.176971339544107,0.146822236101316,"doc164",31,25,18,5,9,2,0,142,11,3,8,1,77,0,0,16,2
"New York",3838230,FALSE,2014-05-17,1,TRUE,TRUE,"Washington Heights",TRUE,"Apartment","Private room",2,1,1,1,"Real Bed",60,1,0,1,1125,TRUE,3,90,10,"flexible",0.06,65877818,"largest bedroom in apartment available for the summer months! three bedroom apartment but roommates will be in and out of town so entire apartment is mostly all yours.  more than one person can stay in my room and pets are also allowed.,cable tv ,wifi,kitchen, smoking allowed , pets allowed , buzzerwireless intercom ,heating, familykid friendly , smoke detector , carbon monoxide detector .",60,0.168175849565157,0.0785412898894049,"doc165",8,7,3,5,3,2,0,24,2,0,2,0,14,0,0,4,0
"New York",22784177,TRUE,2017-10-12,2,TRUE,FALSE,"Washington Heights",TRUE,"Apartment","Entire home/apt",6,1,2,2,"Real Bed",189,2,42,5,28,TRUE,10,98,10,"moderate",2.63,65877818,"new york . . .  if it did not exist,  it would have to be invented .  large prewar apartment ,  high ceilings and much space to move around without bumping into furniture or each other.  a subway to jfk,  30 yards from the building door.  if you arrive through jfk,  no taxi needed to get to the apartment.   19 subways,  buses,  shopping,  parks,  taxi and a variety of good restaurants and coffee places.  you are only 25 minutes from columbus circle.  you can walk to central park in a little over an hour.  find a stocked up refrigerator to get you started,  multiple types of tea,  coffee,  chocolate,  milk  creamer,  juice,  fruit and more.   we shall entertain special requests made ahead of  time.  the entire space and everything edible you find in the apartment is for your use.  only one unlocked drawer in the apartment marked,  private,  please  respect it.  each bedroom has its own empty closet.  two closets are used by me and the cleaning crew.  ample space to hang your clothing and empty drawers in each,tv, cable tv ,wifi, air conditioning ,kitchen, paid parking off premises ,elevator, free street parking ,heating, familykid friendly ,washer,dryer, smoke detector , carbon monoxide detector , first aid kit ,essentials,shampoo,hangers, hair dryer ,iron, laptop friendly workspace , roomdarkening shades , hot water , bed linens , extra pillows and blankets , ethernet connection , coffee maker ,refrigerator, dishes and silverware , cooking basics ,oven,stove, single level home , luggage dropoff allowed , wide hallway clearance , stepfree access , wide doorway , flat path to front door , welllit path to entrance , stepfree access , wide doorway , wide clearance to bed , accessibleheight bed , stepfree access , stepfree access , wide entryway , host greets you , handheld shower head , fixed grab bars for shower .",279,0.311576345892207,0.164022308020973,"doc166",31,23,7,8,10,15,1,130,5,7,15,0,81,3,0,27,0
"Queens",15423452,FALSE,2016-12-14,4,TRUE,FALSE,"Richmond Hill",TRUE,"House","Private room",2,1,1,1,"Real Bed",38,1,10,1,1125,TRUE,40,82,8,"moderate",2.27,25466516,"the space is a very spacious and bright room on the 2rd floor of a house  this beautiful,  spacious,  will fit your every needs and make you feel right at home!  the room is situated in a large home.  the house is located 2 blocks from the j train,  connecting to directly to manhattan.  the house is also a 15 minute drive or min metro ride to the jfk airportairport the neighborhood is a peaceful and quiet one with plenty of grocery stores and restaurants around.,wifi, air conditioning ,kitchen, hot tub ,heating, familykid friendly , smoke detector , carbon monoxide detector , fire extinguisher ,essentials,shampoo, lock on bedroom door ,hangers, hair dryer , laptop friendly workspace , hot water , bed linens , garden or backyard .",119,0.403358978332323,0.200685803419277,"doc167",14,10,4,7,6,15,1,50,2,1,2,1,26,0,0,7,0
"Queens",16649184,FALSE,2017-05-17,1,TRUE,FALSE,"Ditmars / Steinway",TRUE,"Apartment","Private room",2,1,1,1,"Real Bed",50,1,20,1,93,TRUE,51,95,10,"strict_14_with_grace_period",3.38,25466516,"our home is an apartment with four bedrooms and two bathrooms.  the apartment occupies the second floor of a three story building.  the decor is vintage  antique,  homey and comfortable.   very convenient location,  just steps away from food from around the world,  stores,  bars,  24 hour supermarkets.  public transportation is just 2 blocks to the n or w train.  we are very open and accepting people.  people from all backgrounds are equally welcome in our home.  a short ride from astoria with the n or w train into the city.  private,  sunny room with a full size bed,  a desk,  a bookshelf,  and a dresser.  bedroom door locks only from inside for privacy.  you have access to the kitchen and living room,  but please only light cooking in the kitchen.  bathroom shared with our roommate.  all the other necessities including high speed wireless internet all around the apartment.  clean sheets and towels provided.  we are a family of five with three children.    please note that we have a family pet a cat.  the c,wifi, air conditioning ,kitchen, free street parking ,heating, familykid friendly , smoke detector , carbon monoxide detector , first aid kit ,essentials,shampoo, lock on bedroom door ,hangers, hair dryer ,iron, laptop friendly workspace , hot water , bed linens , extra pillows and blankets ,microwave,refrigerator,dishwasher, dishes and silverware , luggage dropoff allowed , long term stays allowed , wide doorway , flat path to front door , welllit path to entrance .",235,0.253288047522453,0.270935206299581,"doc168",26,25,12,8,11,24,2,103,7,0,7,0,54,1,0,10,1
"New York",33917574,FALSE,2016-02-17,1,TRUE,FALSE,"Washington Heights",FALSE,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",140,1,0,3,1125,TRUE,5,96,10,"strict_14_with_grace_period",0.13,65877818,"this stylish and eclectic entire one bedroom apartment located at the top of manhattan is equipped with a full kitchen,  full size bed,  queensized pull out couch bed and large shower.  wifi and two large tvs equipped with all channels included.   it is located 2 blocks from the met museums cloisters and fort tyron park,  and near tons of great bars and restaurants.  nearby marina has free kayaking.   easy access to downtown manhattan through the 1 train across the street and nearby a train.  convenience of basement laundromat available by text messaging this charming apartment in the inwood neighborhood of manhattan is within walking distance of local coffee shops,  bars and restaurants.  both the a train and the 1 train are easily accessible to get you to midtown,  central park,  lincoln center,  columbus circle,  and beyond.,tv,internet,wifi, air conditioning ,kitchen, pets allowed ,elevator,heating, familykid friendly ,essentials,shampoo, 24hour checkin ,hangers, hair dryer ,iron, laptop friendly workspace .",156,0.139640591121715,0.230578984430584,"doc169",18,18,1,5,11,13,0,71,6,1,3,0,30,0,0,12,0
"New York",10803739,FALSE,2014-01-20,1,TRUE,FALSE,"Chelsea",TRUE,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",155,1,20,2,10,TRUE,29,92,9,"flexible",1,65877818,"hi,  my name is christina and im a pilates instructor working and living in nyc.  my apartment is located in the heart of chelsea  the meatpacking district within a 2 min walk from the a, c, e  l trains and a 5 10 min walk from the chelsea market, the high line, the standard hotel and the whitney museum.  my place is good for couples,  solo adventurers,  business travelers,  and furry friends pets.,tv, cable tv ,internet,wifi, air conditioning ,kitchen, paid parking off premises , pets allowed , pets live on this property ,dogs, free street parking , buzzerwireless intercom ,heating, familykid friendly ,washer,dryer, smoke detector , carbon monoxide detector ,essentials,shampoo,hangers, hair dryer ,iron, laptop friendly workspace ,bathtub, window guards , hot water ,other.",120,0.114463348618298,0.136477255129657,"doc170",13,9,0,4,5,12,1,63,3,0,5,1,38,0,0,7,0
"New York",5422824,FALSE,2014-12-26,34,TRUE,TRUE,"Upper West Side",TRUE,"Apartment","Entire home/apt",3,1,0,2,"Real Bed",120,2,50,30,1125,TRUE,8,93,10,"strict_14_with_grace_period",0.25,65877818,"renovated,  fully furnished contemporary studio loft apartment sleeps 3 queensize bed in the main living area with a fullsize mattress in the loft.  bright and airy living area features very high ceilings and windows with a partial view of riverside.  renovated,  fully furnished contemporary studio loft apartment sleeps 3 queensize bed in the main living area with a fullsize mattress in the loft.  this fantastic apartment is located on the fifth 5th floor of charming town house.  please note that there is no elevator in this building,  but the original staircase is wide,  so the four flights that you need to go up to reach the apartment are not too difficult.  bright and airy living area features very high ceilings and windows with a partial view of riverside park.   it is necessary to climb up a ladder to the loft area  so this is not for everyone,  especially not for young children.   please use your judgment when using the loft area.  in addition,  please be advised that it is not poss,tv,internet,wifi, air conditioning ,kitchen, paid parking off premises , pets allowed , free street parking , buzzerwireless intercom ,heating, familykid friendly ,washer,dryer, smoke detector , carbon monoxide detector , first aid kit , fire extinguisher ,essentials,shampoo, 24hour checkin ,hangers, hair dryer ,iron, laptop friendly workspace , self checkin ,keypad, pack n playtravel crib , hot water , long term stays allowed .",225,0.176951231954511,0.169397720297099,"doc171",29,19,11,8,6,18,3,93,4,6,8,0,43,2,0,21,0
"Bronx",17724432,FALSE,2016-11-11,2,TRUE,FALSE,"Kingsbridge",TRUE,"Apartment","Private room",2,1,1,1,"Real Bed",55,1,0,1,90,TRUE,10,93,10,"strict_14_with_grace_period",0.81,15549988,"nice cozy apt.  newly furnished and renovated room.  5 min train ride to nyc.  a block away from the 1 train on broadway.,wifi, air conditioning ,kitchen,elevator, free street parking ,heating, familykid friendly ,washer,dryer, smoke detector , carbon monoxide detector ,essentials,shampoo, lock on bedroom door ,hangers, self checkin ,lockbox, hot water .",51,0.588959910124085,0.357532607016952,"doc172",5,4,2,1,1,2,0,31,2,1,1,0,22,0,0,3,0
"Queens",15695801,FALSE,2016-09-04,1,TRUE,FALSE,"Elmhurst",FALSE,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",120,2,80,2,20,TRUE,8,91,10,"moderate",0.48,25466516,"entire studio apartment.  queen size bed and a sofa bed.  5 min walk to a subway station m, r  1520 min to manhattan.  including smart tv,  playstation 4.  up to 34 people.  the whole apartment answering asap 810 minuets drive to the queens mall.  near usta billie jean king national tennis center and citi field.  parking on the street is free.  but once a week theres cleaning 1. 5 hours so you wont be able to park in a certain street.  other streets has different cleaning hours so youll be able to park there.,tv,wifi, air conditioning ,kitchen,breakfast, free street parking , buzzerwireless intercom ,heating,washer,dryer, smoke detector , first aid kit ,essentials,shampoo,hangers, laptop friendly workspace ,bathtub, hot water , host greets you .",118,0.236920814905989,0.294867992830839,"doc173",15,6,5,7,3,7,0,56,7,4,2,0,31,0,0,10,4
"New York",97402,TRUE,2010-01-20,4,TRUE,FALSE,"Alphabet City",TRUE,"Apartment","Entire home/apt",4,1,1,3,"Real Bed",225,2,30,1,15,TRUE,103,94,10,"strict_14_with_grace_period",0.99,65877818,"send message before booking! i need to confirm availability and polease include exact dates and information about yougroup.   wonderful,  large quiet 1 bedroom private apartment that sleeps 34 people with outdoor patio in 24 hour doorman building in the heart of the lively east village.  please do not make reservation request until i confirm availability!!!!     send message first click contact host,  not request to book.  please read this full description to answer your questions you may have.  the description this spacious apt in the east village would be perfect for a couple,  3 adults or small family 4 people maximum if family who want to experience living in a fantastic apartment in nyc while saving a few bucks from pricey nyc hotels that are located in the heart of the tourist frenzy areas in midtown.  its very clean,  extremely quiet, spacious and has things no hotel can offer.  this posting is for use of a private apartment with a bedroom,  full bathroom,  fully stocked ki,tv, cable tv ,internet,wifi, air conditioning , wheelchair accessible ,kitchen,doorman,gym,breakfast,elevator, free street parking ,heating, familykid friendly ,washer,dryer, smoke detector , carbon monoxide detector , fire extinguisher ,essentials,shampoo, 24hour checkin ,hangers, hair dryer ,iron, laptop friendly workspace , self checkin , building staff , childrens books and toys , pack n playtravel crib , hot water , luggage dropoff allowed , long term stays allowed .",221,0.255993703395003,0.193857882285936,"doc174",30,16,5,8,6,15,2,96,6,5,8,0,48,4,0,25,1
"New York",27693899,FALSE,2018-10-22,3,TRUE,FALSE,"Roosevelt Island",TRUE,"Apartment","Entire home/apt",4,2,2,2,"Real Bed",130,1,0,4,1125,TRUE,1,100,10,"flexible",0.45,65877818,"beautiful 2br apartment in full doorman luxury  building available for short or long term! this beautiful unit has everything you need for a long stay,  and will be your perfect home.,wifi, air conditioning ,pool,kitchen,elevator,heating,washer,dryer, smoke detector , carbon monoxide detector ,essentials, lock on bedroom door ,hangers,iron.",52,0.262926974815818,0.388694223262583,"doc175",8,4,0,2,2,2,1,27,1,0,3,0,17,0,0,3,0
"Queens",6388528,FALSE,2013-07-31,1,TRUE,TRUE,"Astoria",TRUE,"Apartment","Entire home/apt",4,1.5,1,2,"Real Bed",140,2,30,1,1125,TRUE,2,100,10,"moderate",0.05,25466516,"take it easy and relax in our beautiful astoria apartment.  short walk from nq train,  15 minutes to manhattan.  vibrant,  safe neighborhood with amazing restaurants.  fully furnished,  wifi,  elevator,  dish washer,  roof deck,  2 bathrooms! a clean,  spacious,  and fully furnished apartment in queens hottest neighborhood,  astoria.  located on a quiet side street and a short 10 minute walk to the nq train stops at 30th ave or astoria blvd.   15 minute subway ride to 5th avecentral park,  20 minutes to times square.  master bedroom has large,  queen sized memory foam mattress.   our spacious fully furnished living room also has a full sized pull out couch.   air mattress and babys crib available upon request.  our kitchen is fully stocked with anything you might need including vitamix,  toaster oven,  wok,  and all the basics.   clean linens and friendly neighborhood recommendations always provided.  astoria has become the most desirable neighborhood in queens and is home to a rich vibrant community.  you,tv,wifi, air conditioning ,kitchen, free parking on premises ,elevator, buzzerwireless intercom ,heating, familykid friendly ,washer,dryer, smoke detector , carbon monoxide detector ,essentials.",177,0.294367295908641,0.358112036096639,"doc176",28,16,8,5,8,9,0,81,5,0,8,0,42,0,0,14,0
"New York",6113415,FALSE,2013-05-01,1,TRUE,TRUE,"Nolita",FALSE,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",225,2,25,5,7,TRUE,9,93,9,"moderate",0.43,65877818,"my apartment is close to the new museum,  bowery ballroom,  elizabeth street sculpture garden and some of the best restaurants and bars the city has to offer.  youll love staying here because of the neighborhood and its proximity to soho,  lower east side,  chinatown,  little italy,  east village and greenwich village.,tv,internet,wifi, air conditioning ,kitchen,heating, familykid friendly ,essentials,shampoo,hangers, hair dryer ,iron, laptop friendly workspace , translation missing en.hostingamenity50 ,other.",74,0.223456507745211,0.303872603424798,"doc177",10,5,2,2,4,6,0,34,1,1,2,1,23,0,0,5,0
